Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Positive Regulation Of DNA-templated Transcription (GO:0045893)	78/1243	4.509668083141643E-6	4.962305138894008E-4	0	0	1.8102272945976636	22.282607309710688	CSRNP1;RARG;SMARCB1;THRB;THRA;TGFB1I1;HMGB2;AHR;YBX1;MEOX2;NR3C1;ETS1;ETS2;HEY1;MYC;ZIC1;NCK2;SOX8;MYBL2;SOX9;YWHAH;EDN1;ANXA2;F2R;CKAP2;LMO7;ETV1;OLIG1;OLIG2;CCNA2;DDX39B;ELF4;ZFPM2;HDAC2;NFIX;DLX5;EPAS1;MAZ;PRDM11;FOXO1;NPAS3;TP53INP2;ATOH8;E2F1;E2F2;HIVEP3;CYTL1;APOE;HES5;BCL9L;IL33;ARNT2;TFAP2B;TFAP2C;BCL11B;FZD4;NFATC1;DEK;SMARCA2;MT3;FLI1;KLF2;GRIN1;MLLT11;BMP4;DAB2;KLF6;MAFB;RGCC;KLF5;TFAP4;NFIA;NFIB;BAMBI;NFIC;BCL3;HNRNPD;TAF5
Regulation Of Chromosome Segregation (GO:0051983)	8/28	5.834153308540837E-6	6.075684830858144E-4	0	0	10.410284167794316	125.46246918961695	CDCA2;NCAPG;KIF2C;NCAPD2;MKI67;BUB1;NCAPH;SMC2
Negative Regulation Of DNA-templated Transcription (GO:0045892)	67/1025	5.930490073877016E-6	6.075684830858144E-4	0	0	1.8816237873019772	22.64610190152396	RARG;THRB;THRA;HMGB2;AHR;NR3C1;ETS2;RPS14;HEY1;CREB3L1;MYC;SOX8;SOX9;DACT1;DAXX;TLE2;EDN1;ZHX3;DKK3;DEPDC1;ZNF436;ZFPM2;DLX2;HDAC2;NFIX;RPL10;MAZ;AEBP1;PRICKLE1;PRDM11;CXXC5;HDAC9;FOXO1;SCRT2;ATOH8;E2F1;CRYM;RPL17;HES5;SNCA;IL33;TFAP2B;CBX5;UBE2I;BCL11A;NONO;CAV1;PLK1;CBX1;SMARCA2;KLF2;SMAD7;BMP4;DAB2;MAFB;TFAP4;NFIB;NFIC;BCL3;ID1;BHLHE40;ID4;SNAI2;ID3;BCOR;INSM1;RCOR2
Regulation Of Blood Coagulation (GO:0030193)	8/29	7.794125364992928E-6	7.718782153131329E-4	0	0	9.914040853147755	116.61033912123843	EDN1;PLAU;CAV1;F2R;EMILIN2;APOE;TFPI;EPHB2
Positive Regulation Of Vesicle Fusion (GO:0031340)	4/5	9.367751451101218E-6	8.977932116523135E-4	0	0	103.64468371467025	1200.022759899952	ANXA1;ANXA2;DOC2B;SNCA
RNA Transport (GO:0050658)	9/39	1.0431797601877872E-5	9.685272085993487E-4	0	0	7.814227642276423	89.63428557879145	SLBP;DDX39B;PEG10;RFTN1;FLOT1;YBX1;HNRNPA1;CKAP5;TGFBR2
Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0030071)	10/49	1.0910420855966398E-5	9.82268495850793E-4	0	0	6.68475802804161	76.37865602615089	CDC20;CENPE;SMARCD2;CCNB1;SMARCB1;UBE2C;PLK1;FBXO5;SMARCA2;DLGAP5
Mitotic Spindle Elongation (GO:0000022)	5/10	1.545712063300379E-5	0.001312088725732979	0	0	25.940700808625337	287.3565769577174	RACGAP1;INCENP;PRC1;KIF4A;CDCA8
Mitotic Spindle Midzone Assembly (GO:0051256)	5/10	1.545712063300379E-5	0.001312088725732979	0	0	25.940700808625337	287.3565769577174	RACGAP1;INCENP;PRC1;KIF4A;CDCA8
Regulation Of Mitotic Cell Cycle (GO:0007346)	16/125	1.713429119283812E-5	0.00138870421325844	0	0	3.8442249526223975	42.18817291663194	BORA;CDCA2;PLK1;MKI67;CDC25C;CDC20;CCNB1;TFAP4;CKS2;RCC1;GAS1;FBXO5;SOX9;KIF20B;DLGAP5;MAD2L1
Chromosome Condensation (GO:0030261)	8/32	1.7294532443810932E-5	0.00138870421325844	0	0	8.673432566531348	95.10523020600793	TOP2A;CDCA5;PLK1;NUSAP1;NCAPG;NCAPD2;NCAPH;SMC2
Regulation Of Cell Migration (GO:0030334)	35/434	1.7768041292334752E-5	0.0013891802810401723	0	0	2.322836585846639	25.407440107571087	SEMA5A;KANK1;HDAC2;IFITM1;SEMA3C;MAZ;FAM107A;TNC;CHRD;STC1;ADARB1;THY1;LDLRAD4;PLAU;EMILIN2;EPHB2;EDN1;ANXA1;UBE2I;FZD4;LIMCH1;CAV1;F2R;TPM1;LAMB1;SMAD7;CCNA2;MMP14;DAB2;DAAM2;TMSB15A;SNAI2;ROR2;SGK1;RECK
Actin Filament Bundle Assembly (GO:0051017)	8/33	2.2086093945540984E-5	0.0016404446278050567	0	0	8.326062246278756	89.26006969702507	EPS8;LIMA1;MYO1B;FAM107A;FSCN1;PLS3;ADD2;AIF1L
Actin Filament Bundle Organization (GO:0061572)	8/33	2.2086093945540984E-5	0.0016404446278050567	0	0	8.326062246278756	89.26006969702507	EPS8;LIMA1;MYO1B;FAM107A;FSCN1;PLS3;ADD2;AIF1L
Regulation Of Cell Population Proliferation (GO:0042127)	52/766	2.5011548767121288E-5	0.0018124222289540818	0	0	1.942703988070048	20.58522732989076	COL18A1;RARG;IFITM1;TES;ELN;TGFB1I1;CDCA7L;RTKN2;HMGB2;ADARB1;CLU;ETS1;RPS4X;MYC;NCK2;EMILIN2;ITGAV;FBXO5;SOX9;EDN1;F2R;LIFR;OSMR;TGFBR2;SAPCD2;ALDH1A2;KIF20B;SGK1;HDAC2;MAZ;CDCA7;TTK;RPS15A;GRK5;RPL17;HES5;CDKN2D;NTRK2;TFAP2B;TFAP2C;CADM4;CDKN2C;NAP1L1;S100B;SMARCA2;BMP4;RGCC;TFAP4;PRC1;BAMBI;INSM1;CDKN3
Mitotic Spindle Assembly (GO:0090307)	9/44	2.952745680619451E-5	0.0020878247230589875	0	0	6.69616724738676	69.84229658363971	TPX2;RACGAP1;INCENP;KIFC1;PRC1;KIF4A;CDCA8;CEP192;KIF11
Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	41/557	3.0217591077595583E-5	0.0020878247230589875	0	0	2.108771438610361	21.946166384757515	HDAC2;DLX5;TGFB1I1;MAZ;HMGB2;AHR;PRDM11;ETS1;FOXO1;NPAS3;MYC;TP53INP2;ZIC1;ATOH8;E2F1;SOX8;HIVEP3;SOX9;APOE;HES5;YWHAH;ARNT2;TFAP2B;FZD4;F2R;NFATC1;SMARCA2;MT3;FLI1;KLF2;MLLT11;BMP4;KLF6;MAFB;TFAP4;NFIB;BAMBI;ELF4;BCL3;HNRNPD;TAF5
Positive Regulation Of Chromosome Segregation (GO:0051984)	6/18	3.3600925838452673E-5	0.0022358488098333682	0	0	12.983130904183536	133.73867234699975	CCNB1;CDK1;NCAPG;NCAPD2;NCAPH;SMC2
Ribonucleoprotein Complex Biogenesis (GO:0022613)	15/118	3.3865094729889455E-5	0.0022358488098333682	0	0	3.8098838134649053	39.21561310114734	RPL5;RPS8;RPS5;RPL11;RPS3A;RPL7;RPS4X;FBL;RPS14;RPS16;RPS15A;RPL14;RPS11;RPS24;RPS23
Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079)	12/79	3.476156350102971E-5	0.0022451435904686794	0	0	4.675236064575084	48.0006406274483	CCNA2;CDKN2D;CCNB2;CCNB1;CDKN2C;RGCC;TFAP4;CCNE2;PLK1;CDC25C;IPO7;CDKN3
Negative Regulation Of Protein Phosphorylation (GO:0001933)	17/149	4.283731569707912E-5	0.0027078652114047247	0	0	3.373360315483603	33.929598671938436	PRNP;CADM4;CAV1;PDE4D;HSPB1;LDLRAD4;THY1;PPM1E;SMAD7;RASSF2;UBASH3B;NCK2;CALM3;INSM1;EPHB2;PPIA;SNCA
Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	51/763	4.4734903139302746E-5	0.002768904108893093	0	0	1.9081569643549012	19.109727419377272	RARG;THRB;THRA;HMGB2;NR3C1;ETS2;RPS14;HEY1;MYC;SOX8;SOX9;DACT1;EDN1;ZNF436;ZFPM2;DLX2;HDAC2;NFIX;RPL10;MAZ;AEBP1;CXXC5;HDAC9;SCRT2;E2F1;CRYM;RPL17;HES5;SNCA;IL33;TFAP2B;CBX5;UBE2I;BCL11A;CAV1;PLK1;CBX1;SMARCA2;KLF2;SMAD7;BMP4;DAB2;MAFB;NFIC;ID1;BHLHE40;ID4;SNAI2;ID3;BCOR;INSM1
Regulation Of Nuclear Division (GO:0051783)	6/19	4.7561600718104974E-5	0.0028837860353773444	0	0	11.983805668016194	119.28062792098991	CDCA2;RCC1;FBXO5;CDC25C;MKI67;KIF20B
Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)	35/456	4.9431151063166955E-5	0.0029371989961733806	0	0	2.198884411113187	21.801784451769656	HDAC2;THRA;HMGB2;AHR;PRICKLE1;PRDM11;NR3C1;HDAC9;FOXO1;HEY1;CREB3L1;ATOH8;E2F1;SOX8;SOX9;TFAP2B;DAXX;TLE2;ZHX3;CBX5;UBE2I;NONO;SMARCA2;DKK3;BMP4;TFAP4;BCL3;ID1;BHLHE40;ID4;DEPDC1;ID3;BCOR;ZFPM2;RCOR2
Extracellular Structure Organization (GO:0043062)	14/109	5.470301894960349E-5	0.003186719005868078	0	0	3.85168377970848	37.798851813747135	ECM2;COL11A1;COL23A1;FURIN;MMP14;CCDC80;COL1A2;MMP16;COL4A1;SPOCK2;COL5A2;COL8A2;ADAMTS9;RECK
External Encapsulating Structure Organization (GO:0045229)	14/110	6.056508111541733E-5	0.0033535963598141367	0	0	3.811363119599818	37.015166045296425	ECM2;COL11A1;COL23A1;FURIN;MMP14;CCDC80;COL1A2;MMP16;COL4A1;SPOCK2;COL5A2;COL8A2;ADAMTS9;RECK
Negative Regulation Of Supramolecular Fiber Organization (GO:1902904)	11/71	6.079571705323439E-5	0.0033535963598141367	0	0	4.780865036231884	46.41259577029448	KANK1;LIMA1;TPX2;PLEKHH2;STMN1;CKAP2;APOE;CLU;TUBB4A;PFN2;SNCA
Positive Regulation Of Cellular Process (GO:0048522)	42/594	6.095395605182207E-5	0.0033535963598141367	0	0	2.0183009559050262	19.58840154259491	DLX2;HDAC2;SMARCD2;SMARCB1;CDCA7L;RTKN2;MAZ;CHRD;TTK;RPS4X;RPS15A;CDH3;GRK5;MYC;SPOCK2;ITGAV;FBXO5;SOX9;RPL17;HES5;NTRK2;TFAP2B;EDN1;SPAG5;CAV1;F2R;TPM1;LIFR;LAMB1;NAP1L1;OSMR;S100B;SMARCA2;TGFBR2;BMP4;MMP14;SAPCD2;PRC1;BAMBI;MAP1A;INSM1;KIF20B
Ribosomal Small Subunit Biogenesis (GO:0042274)	12/84	6.469392114296644E-5	0.0034325396534985704	0	0	4.3494331065759635	41.95395025678031	RPS4X;FBL;RPS14;RPS16;RPS15A;RPS8;RPS5;RPS3A;RPSA;RPS11;RPS24;RPS23
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	59/938	6.469950205180745E-5	0.0034325396534985704	0	0	1.7925794375214965	17.290785752087015	CSRNP1;RARG;SMARCB1;THRB;THRA;HMGB2;AHR;YBX1;MEOX2;NR3C1;ETS1;ETS2;HEY1;MYC;NCK2;SOX8;MYBL2;SOX9;EDN1;ANXA2;CKAP2;LMO7;ETV1;OLIG1;OLIG2;CCNA2;ELF4;ZFPM2;HDAC2;NFIX;DLX5;EPAS1;FOXO1;ATOH8;E2F1;E2F2;CYTL1;BCL9L;IL33;ARNT2;TFAP2B;TFAP2C;BCL11B;SMAD9;NFATC1;DEK;SMARCA2;KLF2;GRIN1;BMP4;DAB2;KLF6;RGCC;KLF5;NFIA;NFIB;NFIC;BCL3;TAF5
Negative Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090101)	14/111	6.696780036243096E-5	0.0034905497346803933	0	0	3.77187381330783	36.25260567359675	HDAC2;CAV1;TGFB1I1;CHRD;CRIM1;LDLRAD4;IL17RD;SMAD7;BAMBI;PEG10;VEPH1;NBL1;GPR155;BCL9L
Positive Regulation Of Cell Population Proliferation (GO:0008284)	36/483	7.083889452983888E-5	0.003628661304278471	0	0	2.1302070059185003	20.35434596896313	HDAC2;CDCA7L;RTKN2;MAZ;CHRD;TTK;RPS4X;RPS15A;GRK5;MYC;E2F1;ITGAV;SOX8;FBXO5;SOX9;RPL17;HES5;NTRK2;TFAP2B;EDN1;F2R;LIFR;LAMB1;NAP1L1;OSMR;S100B;SMARCA2;TGFBR2;BMP4;CCNA2;SAPCD2;PRC1;BAMBI;INSM1;KIF20B;ZFPM2
Regulation Of Osteoblast Differentiation (GO:0045667)	12/85	7.280875152357425E-5	0.003666352555534561	0	0	4.289628180039139	40.87018058253945	CCNA2;BMP4;IFITM1;RANBP3L;ZHX3;BAMBI;CHRD;CRIM1;SNAI2;FBXO5;SOX9;HDAC9
Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990)	12/86	8.178583703541571E-5	0.004049762030537001	0	0	4.231439602868174	39.82379805890543	CDKN2D;ANLN;CENPE;SMARCD2;SMARCB1;CDKN2C;RGCC;TFAP4;UBE2C;PLK1;E2F1;SMARCA2
Ribosome Assembly (GO:0042255)	9/50	8.542743469975305E-5	0.004093627556338166	0	0	5.714455681142177	53.53212513342872	RPL5;RPS14;RPL10;RPS5;RPLP0;RPL11;RPSA;RPL23A;RPL6
Negative Regulation Of Cell Projection Organization (GO:0031345)	9/50	8.542743469975305E-5	0.004093627556338166	0	0	5.714455681142177	53.53212513342872	MYLIP;KANK1;PRNP;HDAC2;DPYSL5;LPAR1;APOE;MT3;YWHAH
Nervous System Development (GO:0007399)	33/433	9.218743225175439E-5	0.004304099259019436	0	0	2.1783928571428572	20.240944039006884	SEMA5A;NOTCH2;SHC3;DLX5;LPAR1;NRGN;DPYSL5;FLRT3;SPOCK2;ZIC1;SOX8;NRCAM;EPHB2;HES5;CDON;DACT1;MYLIP;ARNT2;SERF1A;MARCKSL1;GSN;CRIM1;ZIC4;S100B;MARCKS;PCDHB2;ALDH1A2;PPT1;PMP22;SCN2A;PAFAH1B3;SCRG1;NBL1
Regulation Of Transcription By RNA Polymerase II (GO:0006357)	108/2028	9.271704899940891E-5	0.004304099259019436	0	0	1.5257922535211268	14.16844306740907	SMARCB1;AHR;NR3C1;ETS1;ETS2;RPS14;CREB3L1;MYC;SOX8;SOX9;LMO7;ZNF436;ZFPM2;DLX2;DLX5;EPAS1;TSHZ1;MAZ;AEBP1;FOXO1;NPAS3;SCRT2;RAD21;ZNF704;HIVEP3;CYTL1;BCL9L;TFAP2B;TFAP2C;CBX5;UBE2I;BCL11B;BCL11A;CAV1;PLK1;CBX1;SMAD9;NFATC1;SMARCA2;ZFHX4;FLI1;SMAD7;BMP4;DAB2;MAFB;RGCC;SP4;BCL3;ID1;BHLHE40;ID4;SNAI2;ID3;RCOR2;CSRNP1;RARG;THRB;THRA;HMGB2;HMGB3;HIF3A;YBX1;MEOX2;HEY1;ZIC1;NCK2;MYBL2;ZNF367;DACT1;BRD2;EDN1;ZHX3;ANXA2;CKAP2;ETV1;OLIG1;OLIG2;CCNA2;ELF4;MCM2;HDAC2;SMARCD2;NFIX;RPL10;CXXC5;HDAC9;ATOH8;E2F1;E2F2;CRYM;RPL17;HES5;SNCA;IL33;ARNT2;ZIC4;DEK;KLF2;GRIN1;KLF6;KLF5;TFAP4;NFIA;NFIB;NFIC;BCOR;INSM1;TAF5
Metaphase Plate Congression (GO:0051310)	9/51	1.0033521559824017E-4	0.004586091162190331	0	0	5.578106852497096	51.35759532908496	CENPE;CCNB1;INCENP;KIFC1;CDCA5;CDCA8;KIF2C;FAM83D;CEP55
Negative Regulation Of Cell Differentiation (GO:0045596)	20/207	1.0239966110816643E-4	0.00460953625988428	0	0	2.804875357670891	25.767344126762772	CAV1;CHRD;CRIM1;LDLRAD4;IL17RD;SMARCA2;HDAC9;FOXO1;SMAD7;BMP4;RANBP3L;HEY1;BAMBI;COL5A2;E2F1;SNAI2;SOX8;ITGAV;SOX9;HES5
Membrane Raft Organization (GO:0031579)	5/14	1.0838021619224381E-4	0.004805934661300842	0	0	14.408505540581013	131.54771033736057	COLEC12;ANXA2;RFTN1;FLOT1;PPT1
Ribosomal Large Subunit Assembly (GO:0000027)	6/22	1.1883183728542699E-4	0.00515952586865715	0	0	9.735323886639677	87.98592186924184	RPL5;RPL10;RPL11;RPLP0;RPL23A;RPL6
Positive Regulation Of Ubiquitin Protein Ligase Activity (GO:1904668)	4/8	1.1982742677123642E-4	0.00515952586865715	0	0	25.907133243607	233.92737050009035	CDC20;UBE2C;UBE2S;PLK1
Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030512)	11/77	1.2951438402944413E-4	0.005496960499306836	0	0	4.3448822463768115	38.89416326057102	HDAC2;BAMBI;TGFB1I1;PEG10;CAV1;VEPH1;LDLRAD4;IL17RD;LTBP1;BCL9L;SMAD7
Positive Regulation Of Collagen Biosynthetic Process (GO:0032967)	5/15	1.5758384333659596E-4	0.006502522202125369	0	0	12.966981132075471	113.53308929014096	BMP4;HDAC2;RGCC;CREB3L1;F2R
Positive Regulation Of Mitotic Sister Chromatid Separation (GO:1901970)	5/15	1.5758384333659596E-4	0.006502522202125369	0	0	12.966981132075471	113.53308929014096	CDC20;UBE2C;INCENP;CDCA8;DLGAP5
Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:2000045)	13/106	1.610090798477696E-4	0.00655284898942087	0	0	3.648882247809909	31.86951925941007	CDKN2D;SMARCD2;RRM1;SMARCB1;ANXA1;CDKN2C;RRM2;FAM107A;SMARCA2;RGCC;E2F1;CCL2;DACT1
Positive Regulation Of Biosynthetic Process (GO:0009891)	8/44	1.961445304057832E-4	0.00787493783561597	0	0	5.778679897759735	49.330618430834164	BMP4;HDAC2;RGCC;CREB3L1;F2R;APOE;SORBS1;GRIN1
Negative Regulation Of Mitotic Cell Cycle (GO:0045930)	7/34	2.1956244705178093E-4	0.008685825587985127	0	0	6.735835835835836	56.74183148398791	BMP4;TOM1L2;RGCC;GAS1;NABP1;ZWINT;MAD2L1
Positive Regulation Of Collagen Metabolic Process (GO:0010714)	5/16	2.221887393762604E-4	0.008685825587985127	0	0	11.78755207057094	99.15669187180413	BMP4;HDAC2;RGCC;CREB3L1;F2R
Mitotic Nuclear Division (GO:0140014)	8/45	2.308359656412276E-4	0.008906670830131004	0	0	5.622206780528837	47.07925315872977	EPS8;SPAG5;UBE2C;KIFC1;UBE2S;PLK1;NUSAP1;ZWINT
