Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Positive Regulation Of Programmed Cell Death (GO:0043068)	67/245	6.56834111024035E-8	2.140385107629718E-5	0	0	2.2849665816798437	37.78973572957529	ITGB1;RARG;TNFAIP8;LRRK2;TRADD;PDCD5;PRF1;HMGB1;CLU;LGALS2;LGALS1;AIFM2;FAM162A;TNFSF10;CYP1B1;CASP2;SOX4;CTNNBL1;HTATIP2;TGM2;SYK;DAPK2;DUSP6;RHOB;MELK;IFNG;BIN1;IRF5;ITGA6;TP53;ATF4;BCL2A1;HTRA4;FOXO1;HDAC6;SAV1;STK3;HSPD1;BCLAF1;MAPK8;BCL2L11;SCIN;CLEC7A;PMAIP1;RIPK1;FADD;ECT2;GBP2;GBP1;SNCA;MOAP1;JUN;GADD45B;BAD;GZMA;LAPTM5;TNFRSF10B;LILRB1;PNMA3;MLLT11;DNAJA1;IL6;TFAP4;BCL6;STK17B;TRIM35;MNDA
Response To Lipopolysaccharide (GO:0032496)	49/159	7.281275074364371E-8	2.140385107629718E-5	0	0	2.697597956808483	44.33603334364047	CD86;CXCL9;CD80;HMGB2;TNFAIP3;HMGB1;CXCL2;CDC73;CXCL5;ZFP36;CASP1;NOS1;MEF2C;SLC11A1;IRAK3;PEX2;TICAM1;TNFRSF1B;ADAM17;IL1B;PELI1;ADAM9;PLAA;CARD16;CACTIN;S100A9;TLR4;S100A8;CHMP5;GSTP1;CTR9;NOD2;SBNO2;MAPK8;CD14;GBP2;SNCA;XBP1;LILRB1;PPBP;LILRB2;SMAD6;NFKB1;IL6;AXL;TNIP2;TNIP3;TAB2;VIM
Cellular Response To Oxygen-Containing Compound (GO:1901701)	98/406	7.371666699697164E-8	2.140385107629718E-5	0	0	1.938225907281282	31.831555628416364	CD86;IRS1;CPNE4;CD80;AQP9;CIB2;AHR;CLU;ZFP36;PDK4;CAPN2;CPNE3;CPNE2;TGM2;MEF2C;TPM1;TICAM1;PPIF;ADAM9;PLAA;CARD16;EZR;EPHA3;VCP;SHMT1;CTR9;PXN;CACNA1A;IQGAP1;RASGRP2;FOXO1;HSP90B1;ZFP36L1;SBNO2;RAP1A;DHX36;CD14;ECT2;JUN;XBP1;PPBP;ESR1;NFKB1;CPEB1;IL6;NR4A3;DLG4;FES;PDE3A;LGMN;GSK3B;CXCL9;HMGB2;TNFAIP3;HMGB1;CXCL2;CDC73;CXCL5;CASP1;SCN5A;TESC;GPBAR1;PEX2;FOS;TNFRSF1B;SSTR2;IL1B;RARA;RAPGEF2;MAPT;CACTIN;TLR4;RAPGEF3;CHMP5;PRKAA1;CAMK2D;GSTP1;AKAP6;NOD2;P2RY6;MAPK8;SLC13A5;GBP2;MAPK3;P2RY12;SLC12A2;LILRB1;LILRB2;MCOLN1;PEX13;SYT17;P2RX3;AXL;TNIP2;TNIP3;ALOX5AP;VIM;LAMTOR3
Negative Regulation Of Programmed Cell Death (GO:0043069)	93/381	9.062521060997327E-8	2.485144664282378E-5	0	0	1.965848536849711	31.87924845677553	GSK3B;TNFAIP8;CIB1;TRIAP1;TM7SF3;IFIT3;COMP;HMGN5;AIFM2;AKT2;ARHGDIA;CTSH;CASP2;PIM3;TMEM14A;IER3;HTATIP2;MED1;ANXA1;GPX4;ANXA4;RPS3A;WDR73;DNAJC3;HAX1;TMBIM4;CAT;TAX1BP1;PPIF;YME1L1;ANGPTL4;NUPR1;GAS6;TP53;CARD14;MET;CD44;BIRC3;KANK2;HDAC2;PRKAA1;BCL2A1;GSTP1;GLO1;IFI6;PIK3R1;THBS1;FOXO1;MTDH;HSP90B1;HSPD1;SOCS2;SOCS3;MAPK8;DPP8;ERBB3;DPP9;FIGNL1;FLNA;BNIP2;RICTOR;RIPK1;ATG5;MAP4K4;SNCA;HSPA9;PLK3;PRELID1;XBP1;STIL;OPN3;HSPA5;API5;WFS1;PLK2;SIAH2;PLK1;LAPTM5;IGF1;PA2G4;SMAD6;PTK2;NFKB1;DNAJA1;IL6;SON;AXL;IL7;PPT1;CDK1;CD27;EVI2B;HSPA1B
Regulation Of Interleukin-2 Production (GO:0032663)	22/47	9.578577278970448E-8	2.48841354994727E-5	0	0	5.304797463895738	85.73163640591376	CD86;PRNP;STOML2;CD80;PDE4D;LAPTM5;TNFAIP3;HDAC9;ZFP36;CD4;PNP;PTPRC;NAV3;CLEC7A;IL1B;TRIM27;EZR;CD34;GBP1;SPTBN1;CCR2;HAVCR2
Positive Regulation Of Inflammatory Response (GO:0050729)	36/104	1.5967946017010143E-7	3.940889076998104E-5	0	0	3.1991462779802187	50.0669508635127	PTGER4;CEBPA;CD81;DHX9;TRADD;ETS1;PLA2G7;LGALS2;LGALS1;CASP1;CCL3;S100A12;RIPK1;NLRP1;GPSM3;CCR2;SNCA;GSDMD;OSM;IL16;OSMR;TNFRSF1A;NFKBIA;VAMP8;IL6;AIM2;IFNG;IL23A;IL1B;NINJ1;ADAM8;NUPR1;CD47;S100A9;TLR4;S100A8
Cellular Response To Peptide (GO:1901653)	24/56	2.0215479768304163E-7	4.496450261521363E-5	0	0	4.522470919985901	69.71041646170457	GSK3B;EPHA4;PRNP;XBP1;LRP1;CACNA2D1;CACNA1A;NOD2;IGF1;ICAM1;ZFP36L1;GRIN2A;CDK5;TIMELESS;CD36;ARHGEF2;VIM;FCGR2B;TLR4;TP53;RPL17;CHMP5;SNX6;LGMN
Regulation Of Tumor Necrosis Factor Production (GO:0032680)	41/127	2.0485019526792277E-7	4.496450261521363E-5	0	0	2.8829498598053767	44.4002729657822	CD84;DHX9;C5AR2;GSTP1;TNFAIP3;HMGB1;NOD2;LILRA2;CLU;THBS1;ZFP36;CLEC7A;CCL3;RIPK1;TRIM27;CD14;FADD;CD33;SLAMF1;CCR2;HAVCR2;SYK;IRAK3;LILRB1;PTPN11;IGF1;HLA-E;CLEC4A;IL6;MAVS;PTPRC;IFNG;OAS1;IL23A;OAS2;RARA;ARHGEF2;CD47;CACTIN;GAS6;TLR4
Macromolecule Biosynthetic Process (GO:0009059)	53/183	2.0951854946311052E-7	4.496450261521363E-5	0	0	2.469529366644751	37.977542679789565	RPL4;RPL5;HBS1L;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;MRPL34;RPL6;RPL7;EEF1B2;RPS14;MRPL42;RPL7A;RPS16;RPL35;RPS11;RPS13;TSFM;RPL21;RPS7;RPS8;SLC11A1;RPL13A;RPSA;RPS3A;MRPS6;MRPL43;EEF1A1;EEF1G;RPL11;SRBD1;TYMS;RPS15A;ST3GAL4;RPL14;EIF4EBP2;RPL13;APOE;RPL15;RPS27A;RPL17;ST3GAL2;RPL19;RPL35A;HARS2;MRPL24;RPS20;EIF4G2;RPS24;RPS23
Peptide Biosynthetic Process (GO:0043043)	47/158	4.2613505311922786E-7	8.764177592485453E-5	0	0	2.5622082637008012	37.5837762950398	RPL4;RPL5;HBS1L;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL11;SRBD1;MRPL34;PCSK5;RPL6;RPL7;RPS14;MRPL42;RPL7A;RPS16;RPS15A;RPL14;RPL35;EIF4EBP2;RPL13;DMD;RPL15;RPS11;RPS27A;RPL17;RPS13;RPL19;GGT5;RPL21;RPS7;RPS8;RPL13A;RPL35A;RPSA;RPS3A;HARS2;MRPL24;MRPS6;MRPL43;EEF1A1;RPS20;RPS24;RPS23
Negative Regulation Of Apoptotic Process (GO:0043066)	109/482	4.866089144418634E-7	9.607606406740151E-5	0	0	1.7803225731030612	25.878421914450275	CIB1;PARK7;CLU;IFIT3;COMP;HMGN5;AKT2;LAMP3;ARHGDIA;PDK4;PIM3;TMEM14A;IER3;MED1;MEF2C;KDM2B;WDR73;MSH2;TYRO3;PPIF;YME1L1;ADAM8;CARD16;NUPR1;TP53;CARD14;GLO1;PIK3R3;PIK3R1;FOXO1;MTDH;HSP90B1;SOCS2;SOCS3;FIGNL1;RIPK1;APOE;PPARGC1A;SNX6;HSPA9;PLK3;PRELID1;XBP1;STIL;OPN3;HSPA5;API5;WFS1;PLK2;SIAH2;PLK1;PA2G4;IGF1;SMAD6;NFKB1;PTK2;NR4A2;IL6;SON;IL7;PPT1;CDK1;CD27;LGMN;ITGB1;GSK3B;TNFAIP8;TRIAP1;CTSH;CASP2;HTATIP2;ANXA1;ANXA4;RPS3A;DNAJC3;HAX1;TMBIM4;CAT;TAX1BP1;ANGPTL4;GAS6;CD44;BIRC3;HDAC2;PRKAA1;ASAH2;BCL2A1;GSTP1;IFI6;THBS1;HSPD1;MAPK8;DNAJB6;PTPRZ1;ERBB3;FLNA;BNIP2;RICTOR;MAP4K4;SNCA;CDKN2D;NTRK2;MTRNR2L10;KLF4;SOD2;DNAJA1;AXL;EVI2B;HSPA1B
Positive Regulation Of Protein Kinase Activity (GO:0045860)	44/145	5.349793745083944E-7	1.0156377663743979E-4	0	0	2.634893521301012	38.05059652670597	SLC27A1;CDKN1A;HSP90AB1;ITGB3;LRRK2;DUSP19;NEDD9;CIB1;IQGAP1;CLU;RAP1A;RELN;ERBB3;CCL5;CLSPN;ECT2;FCGR1A;SNCA;EPHA4;PRNP;MAP2K1;HSP90AA1;BORA;SLC11A1;EMP2;PTK2;TGFBR2;CCNA2;TPX2;CENPE;CD4;PTPRC;IFNG;TRAF4;IL23A;DLG4;NOX4;RAPGEF2;CALM3;TAB2;GAS6;CALM2;EZH2;MAP3K12
Immunoglobulin Mediated Immune Response (GO:0016064)	16/30	5.798092993760386E-7	1.0599772969333802E-4	0	0	6.879236756213909	98.78973746854275	HLA-DRB5;CD81;HLA-DMA;HLA-DMB;CD19;FCER1A;CD27;HLA-DRA;TLR8;FCGR2B;HLA-DRB3;HLA-DOB;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1
Regulation Of Transcription By RNA Polymerase II (GO:0006357)	365/2028	6.410223134570204E-7	1.1300307640085187E-4	0	0	1.360864093312981	19.406196280353498	SPI1;SMARCB1;EHMT2;FOXI3;JMJD1C;ENO1;IKZF2;RBPJ;IKZF3;ELK1;SPIB;RPS6KA4;RPS14;TBK1;CREB3L1;NAMPT;DPF2;BBX;ZNF844;TRIM27;PKNOX1;IER5;JUNB;IER2;SOX4;SOX5;MED1;MEF2C;SLC11A1;FOXH1;SERPINF2;SOX13;EBF1;HCFC2;HCFC1;IFI27;PRKAR1A;BIN1;DDIT3;SUB1;EZR;ZFPM2;CLOCK;TP53;ATF3;ATF4;ZNF276;ZNF396;ZBTB8A;SRCAP;DHX9;EPAS1;SP140;CTR9;ZNF20;ZBTB1;MYNN;BAZ2B;PIK3R1;ZNF24;HTATSF1;HIF1A;MTDH;POU5F1B;ZNF704;RAD21;DHX36;HIVEP1;ZBED1;FADD;ZNF148;LYAR;PPARGC1A;ZBTB7A;RREB1;ZBTB7C;ZNF266;NFE2;PLK3;JUN;XBP1;ZNF383;JUND;PLK1;IGF2;SMARCA5;EAF2;IRF2BP2;MICAL2;IGF1;PARP15;PBX1;ST18;POU6F1;FOSL1;TADA2A;FUBP3;ID2;ID1;REL;SIM2;HAMP;EZH1;EZH2;SUV39H2;RARG;TENM2;MAGEF1;TCF23;BHLHE41;NKAP;TCF21;ZNF44;TFCP2L1;BRCA1;HIF3A;MED16;BMI1;PHF6;N4BP2L2;ING1;MED12;PPP3CA;MED13;ZNF248;ZNF366;GABPA;HTATIP2;HAVCR2;BRD3;BRD2;ZNF362;ANXA2;ANXA4;ACTL6A;FOS;PROX1;SIRT7;ZNF57;MED26;ZHX1;ZFX;POU5F2;RGMA;ZEB2;NCOR1;ZEB1;NR5A2;RARA;ARHGEF2;PPARA;TLR4;VGLL3;ENG;KANK2;SP100;TMF1;DOT1L;ASCL2;PURB;HIRA;MNT;BCLAF1;RXRA;SHOX;PLAGL2;APBB2;STAT6;TBL1X;ZNF345;RPL17;BRD4;ZNF101;ARNT2;PCGF6;NFYA;ATAD2;OSM;ELP2;LILRB1;GTF2H2;GATAD2A;BATF;SKI;PER1;TFAP4;NFIB;PRKRA;NFIC;FOSB;ZNF579;ZNF354A;MAMLD1;FRK;ZNF212;ZNF575;CCNT1;CD81;UBE2D3;ZBTB21;UBE2D1;ARID4A;YEATS4;PARK7;AHR;NR3C1;ETS1;LOXL2;NR3C2;YY1;ZFP36;RUVBL1;ZNF567;ZNF444;ZNF202;ZNF443;PIAS3;MLIP;KDM2B;ZBTB34;ERF;ZNF799;KMT2D;GCM1;KMT2A;TNKS;CREM;GLIS3;FOXO1;NPAS3;SBNO2;ZKSCAN8;SAFB2;CAMTA2;RIPK1;ZKSCAN1;BCL9L;SMAD2;CBX7;SMAD4;UBE2I;POU2F1;ZFHX2;SMURF2;FUS;WFS1;PTCH1;CBX1;POU2F2;SMAD6;ZFHX4;ESR1;NFKB1;NFKB2;SMAD7;NFKBIA;NR4A2;NR4A1;IL6;MAVS;RGCC;MAFB;NR4A3;BCL6;SP4;BHLHE40;MKRN2;TCF4;OGT;MXD3;FGFR2;ZSCAN2;ZNF891;THRB;ONECUT2;AKAP8L;HMGB2;HMGB3;YBX1;HMGB1;TRIAP1;FOXM1;CHD2;CDC73;HMGB4;PPP1R13L;ZNF529;NCK2;NOS1;ZNF644;LRRFIP1;KDM6B;KLF10;ACTR2;BCAS3;RBM14;PPP1R12A;ATRX;PEX2;ETV3;ARID1A;KLF15;TNFRSF1A;ETV6;CCNA2;CREB3;IMPACT;ELF1;FOXD4L5;HAX1;IFNG;ELF5;CDH13;ITGA6;IRF5;ITGB1BP1;MET;ZNF510;KDM7A;MCM2;CEBPA;CEBPB;HDAC2;KDM3A;CAMK2D;CEBPD;ATF6B;ZBTB43;DDX21;NOD2;HDAC9;HDAC6;AURKB;MLLT6;ATOH8;RBBP8;E2F2;HES1;RBBP7;HES2;MAPK3;SNCA;MLXIP;RNF20;TCF7L1;CNBP;USP22;ARID3B;SOD2;KLF4;MEIS2;KLF2;KLF8;KLF7;KLF6;KLF5;TNIP2;TNIP3;KLF9;BCOR;LPIN1;PAXBP1;SSBP2;LPIN2;SSBP4
Cellular Response To Mechanical Stimulus (GO:0071260)	21/48	7.656739240293384E-7	1.3032298237961428E-4	0	0	4.686384976525821	65.99606069240285	PTGER4;MAP3K2;CASP8AP2;MAP3K1;BAD;TNFRSF10B;TMEM150C;NFKB1;TNFRSF1A;CNN2;MAPK8;IL1B;CASP1;PIEZO2;CASP2;TLR8;FADD;TLR5;MAP3K14;TLR4;MAPK3
